SOURCE	TARGET	WEIGHT
ancien	ministre	1.51361590174e-05
appartient	à	1.51361590174e-05
officiel	publie	1.50589337163e-05
premier	acte	1.50589337163e-05
sucres	bruts	1.50589337163e-05
ventes	laines	1.50589337163e-05
à	cours	1.50589337163e-05
août	octobre	1.49817084152e-05
cours	haut	1.49817084152e-05
favorable	à	1.49817084152e-05
jours	balles	1.49817084152e-05
peigné	type	1.49817084152e-05
français	à	1.49044831141e-05
italien	turc	1.49044831141e-05
marché	futurs	1.49044831141e-05
mme	heurtey	1.49044831141e-05
nécessaire	à	1.49044831141e-05
victor	hugo	1.49044831141e-05
courant	août	1.4827257813e-05
déjà	à	1.4827257813e-05
main	à	1.4827257813e-05
puisse	être	1.4827257813e-05
sii	mois	1.4827257813e-05
sucres	raffinés	1.4827257813e-05
à	moscou	1.4827257813e-05
avoir	entendu	1.47500325119e-05
présenté	à	1.47500325119e-05
à	fond	1.47500325119e-05
à	zinc	1.47500325119e-05
cherché	à	1.46728072107e-05
contribué	à	1.46728072107e-05
fabrique	type	1.46728072107e-05
parts	tour	1.46728072107e-05
chambres	syndicales	1.45955819096e-05
courant	mai	1.45955819096e-05
devait	avoir	1.45955819096e-05
grève	générale	1.45955819096e-05
samedi	à	1.45955819096e-05
à	février	1.45955819096e-05
à	puis	1.45955819096e-05
après	fortune	1.45183566085e-05
chemins	étrangers	1.45183566085e-05
faible	à	1.45183566085e-05
longues	années	1.45183566085e-05
à	parler	1.45183566085e-05
appelés	à	1.44411313074e-05
foncière	russe	1.44411313074e-05
passage	à	1.44411313074e-05
renoncé	à	1.44411313074e-05
à	octobre	1.44411313074e-05
nu	escompte	1.43639060063e-05
turc	egyptien	1.43639060063e-05
à	liquidation	1.43639060063e-05
consenti	à	1.42866807052e-05
disponible	à	1.42094554041e-05
do	fer	1.42094554041e-05
liquidations	judiciaires	1.42094554041e-05
paris	mai	1.42094554041e-05
partout	où	1.42094554041e-05
pays	où	1.42094554041e-05
plaisir	à	1.4132230103e-05
recettes	marché	1.4132230103e-05
songé	à	1.4132230103e-05
suez	bons	1.4132230103e-05
très	belle	1.4132230103e-05
bonne	volonté	1.40550048019e-05
chercher	à	1.40550048019e-05
comptant	cours	1.40550048019e-05
république	française	1.40550048019e-05
à	madrid	1.40550048019e-05
était	déjà	1.40550048019e-05
assisté	à	1.39777795008e-05
fer	à	1.39777795008e-05
peut	avoir	1.39777795008e-05
situation	financière	1.39777795008e-05
type	courant	1.39777795008e-05
décembre	à	1.39005541997e-05
fin	courant	1.39005541997e-05
question	à	1.39005541997e-05
sucres	français	1.39005541997e-05
tant	à	1.39005541997e-05
à	balles	1.39005541997e-05
été	question	1.39005541997e-05
arrivés	à	1.38233288985e-05
avoués	à	1.38233288985e-05
nuit	à	1.38233288985e-05
à	gagner	1.38233288985e-05
à	tenir	1.38233288985e-05
hommage	à	1.37461035974e-05
nue	propriété	1.37461035974e-05
petit	nombre	1.37461035974e-05
à	versailles	1.37461035974e-05
avoir	à	1.36688782963e-05
grand	succès	1.36688782963e-05
mois	sii	1.36688782963e-05
annoncé	hier	1.35916529952e-05
bref	délai	1.35916529952e-05
jour	pur	1.35916529952e-05
transporté	à	1.35916529952e-05
à	alger	1.35916529952e-05
à	constantinople	1.35916529952e-05
autorisé	à	1.35144276941e-05
croire	à	1.35144276941e-05
difficile	à	1.35144276941e-05
fixée	à	1.35144276941e-05
informations	financières	1.35144276941e-05
maximum	minimum	1.35144276941e-05
mois	zinc	1.35144276941e-05
premier	rang	1.35144276941e-05
servir	à	1.35144276941e-05
chronique	electorale	1.3437202393e-05
dimanche	prochain	1.3437202393e-05
détroits	à	1.3437202393e-05
matières	premières	1.3437202393e-05
mme	veuve	1.3437202393e-05
offert	à	1.3437202393e-05
premiers	mois	1.3437202393e-05
rio	tharsis	1.3437202393e-05
upland	ventes	1.3437202393e-05
calme	à	1.33599770919e-05
conseiller	à	1.33599770919e-05
continuer	à	1.33599770919e-05
demain	à	1.33599770919e-05
probables	importations	1.33599770919e-05
russe	italien	1.33599770919e-05
à	farines	1.33599770919e-05
à	ii	1.33599770919e-05
à	ris	1.33599770919e-05
aussitôt	après	1.32827517908e-05
conseils	généraux	1.32827517908e-05
dit	hier	1.32827517908e-05
esprit	nord	1.32827517908e-05
lieu	demain	1.32827517908e-05
roubles	à	1.32827517908e-05
va	rester	1.32827517908e-05
banque	foncière	1.32055264897e-05
docteur	koch	1.32055264897e-05
nord	à	1.32055264897e-05
panama	parts	1.32055264897e-05
à	demander	1.32055264897e-05
à	dre	1.32055264897e-05
amp	à	1.31283011886e-05
bruit	court	1.31283011886e-05
crédit	industriel	1.31283011886e-05
effet	à	1.31283011886e-05
novembre	à	1.31283011886e-05
second	tour	1.31283011886e-05
service	militaire	1.31283011886e-05
à	lisbonne	1.31283011886e-05
à	marché	1.31283011886e-05
à	queue	1.31283011886e-05
être	à	1.31283011886e-05
bulletin	financier	1.30510758874e-05
del	ferice	1.30510758874e-05
faire	passer	1.30510758874e-05
française	à	1.30510758874e-05
publique	à	1.30510758874e-05
reçu	hier	1.30510758874e-05
rue	auber	1.30510758874e-05
foncier	colonial	1.29738505863e-05
journal	financier	1.29738505863e-05
nord	société	1.29738505863e-05
passé	à	1.29738505863e-05
à	mo	1.29738505863e-05
à	toulon	1.29738505863e-05
août	cafés	1.28966252852e-05
berlin	roubles	1.28966252852e-05
doute	à	1.28966252852e-05
juge	à	1.28966252852e-05
mettre	fin	1.28966252852e-05
soumettre	à	1.28966252852e-05
à	tre	1.28966252852e-05
affaires	maritimes	1.28193999841e-05
bon	courant	1.28193999841e-05
corps	à	1.28193999841e-05
grande	majorité	1.28193999841e-05
séjour	à	1.28193999841e-05
terme	marché	1.28193999841e-05
à	boulogne	1.28193999841e-05
également	à	1.28193999841e-05
accord	location	1.2742174683e-05
bonne	heure	1.2742174683e-05
circulation	tendance	1.2742174683e-05
cotons	marché	1.2742174683e-05
nouvelle	loi	1.2742174683e-05
pianos	à	1.2742174683e-05
borné	à	1.26649493819e-05
cote	cielle	1.26649493819e-05
derniers	jours	1.26649493819e-05
location	pianos	1.26649493819e-05
mois	dernier	1.26649493819e-05
