SOURCE	TARGET	WEIGHT	WEIGHT*100000
relatifs	à	1.73E-05	1.729846745
réduit	à	1.73E-05	1.729846745
anglais	à	1.72E-05	1.722124215
cafés	santos	1.72E-05	1.722124215
paris	avril	1.72E-05	1.722124215
rente	tunisienne	1.72E-05	1.722124215
à	destination	1.72E-05	1.722124215
été	décidé	1.72E-05	1.722124215
italien	naux	1.71E-05	1.714401685
livrer	à	1.71E-05	1.714401685
porter	à	1.71E-05	1.714401685
prête	à	1.71E-05	1.714401685
très	grand	1.71E-05	1.714401685
à	meule	1.71E-05	1.714401685
à	nouveau	1.71E-05	1.714401685
continuent	à	1.71E-05	1.706679155
cours	officiel	1.71E-05	1.706679155
destinées	à	1.71E-05	1.706679155
déjà	été	1.71E-05	1.706679155
même	où	1.71E-05	1.706679155
ventes	rio	1.71E-05	1.706679155
à	centimes	1.71E-05	1.706679155
beaucoup	à	1.70E-05	1.698956624
berlin	à	1.70E-05	1.698956624
colza	à	1.70E-05	1.698956624
février	mars	1.70E-05	1.698956624
semaine	dernière	1.70E-05	1.698956624
tarif	général	1.70E-05	1.698956624
à	céder	1.70E-05	1.698956624
conduit	à	1.69E-05	1.691234094
derniers	temps	1.69E-05	1.691234094
directeur	général	1.69E-05	1.691234094
peut	faire	1.69E-05	1.691234094
service	havas	1.69E-05	1.691234094
à	juillet	1.69E-05	1.691234094
bas	cours	1.68E-05	1.683511564
donné	hier	1.68E-05	1.683511564
trop	souvent	1.68E-05	1.683511564
actes	officiels	1.68E-05	1.675789034
meule	à	1.68E-05	1.675789034
paris	juillet	1.68E-05	1.675789034
première	partie	1.68E-05	1.675789034
année	à	1.67E-05	1.668066504
italien	marché	1.67E-05	1.668066504
tenu	hier	1.67E-05	1.668066504
contraire	à	1.66E-05	1.660343974
travaux	forcés	1.66E-05	1.660343974
berlin	roux	1.65E-05	1.652621444
juillet	ventes	1.65E-05	1.652621444
louis	xiv	1.65E-05	1.652621444
met	à	1.65E-05	1.652621444
monde	entier	1.65E-05	1.652621444
numéro	lt	1.65E-05	1.652621444
était	venu	1.65E-05	1.652621444
adressée	à	1.64E-05	1.644898914
mois	sucres	1.64E-05	1.644898914
ports	mer	1.64E-05	1.644898914
songer	à	1.64E-05	1.644898914
extérieure	hongrois	1.64E-05	1.637176384
fièvre	typhoïde	1.64E-05	1.637176384
à	août	1.64E-05	1.637176384
à	calais	1.64E-05	1.637176384
public	à	1.63E-05	1.629453853
aller	à	1.62E-05	1.621731323
août	ventes	1.62E-05	1.621731323
vendu	qx	1.62E-05	1.621731323
chose	à	1.61E-05	1.614008793
supérieur	à	1.61E-05	1.614008793
écrit	à	1.61E-05	1.614008793
arrive	à	1.61E-05	1.606286263
banque	marché	1.61E-05	1.606286263
dakar	à	1.61E-05	1.606286263
donné	lecture	1.61E-05	1.606286263
ventes	probables	1.61E-05	1.606286263
cherche	à	1.60E-05	1.598563733
comptant	à	1.60E-05	1.598563733
note	suivante	1.60E-05	1.598563733
roubaix	qualité	1.60E-05	1.598563733
à	ans	1.60E-05	1.598563733
lots	algériens	1.59E-05	1.590841203
venu	à	1.59E-05	1.590841203
dépêche	suivante	1.58E-05	1.583118673
fin	nu	1.58E-05	1.583118673
parti	républicain	1.58E-05	1.583118673
république	argentine	1.58E-05	1.583118673
grandes	maisons	1.58E-05	1.575396143
vienne	à	1.58E-05	1.575396143
visite	à	1.58E-05	1.575396143
marché	à	1.57E-05	1.567673613
à	porter	1.56E-05	1.559951082
ainsi	conçu	1.55E-05	1.552228552
devra	être	1.55E-05	1.552228552
dernier	mot	1.54E-05	1.544506022
droits	à	1.54E-05	1.544506022
prendre	à	1.54E-05	1.544506022
revenu	net	1.54E-05	1.544506022
dû	à	1.54E-05	1.536783492
envoyé	à	1.54E-05	1.536783492
